Time Difference (s),Nodes,State,Backfilled
1127,4K,COMPLETED,yes
1101,4K,COMPLETED,no
7125,4,FAILED,yes
1167,4K,COMPLETED,no
7148,4,FAILED,yes
1135,4K,COMPLETED,no
7154,4,FAILED,yes
7148,4,FAILED,yes
1294,1,CANCELLED by 15604,yes
7160,4,FAILED,yes
1001,1,COMPLETED,yes
2683,4,COMPLETED,yes
1196,4,COMPLETED,yes
7157,4,FAILED,yes
7154,4,FAILED,yes
1666,1,COMPLETED,yes
7151,4,FAILED,yes
7156,4,FAILED,yes
3322,4,COMPLETED,yes
7154,4,FAILED,yes
7152,4,FAILED,yes
390,2304,COMPLETED,yes
7138,4,FAILED,yes
7140,4,FAILED,yes
7136,4,FAILED,yes
3496,1,COMPLETED,yes
7137,4,FAILED,yes
1308,1,CANCELLED by 15604,yes
3500,1,COMPLETED,yes
766,2K,COMPLETED,yes
7149,4,FAILED,yes
3489,1,COMPLETED,yes
7162,4,FAILED,yes
3481,1,COMPLETED,yes
3488,1,COMPLETED,yes
3563,320,FAILED,yes
7155,4,FAILED,yes
3473,1,COMPLETED,yes
3477,1,COMPLETED,yes
-5,640,TIMEOUT,yes
7119,4,FAILED,yes
7132,4,FAILED,yes
3296,320,COMPLETED,yes
7153,4,FAILED,yes
-2,1,TIMEOUT,yes
-2,1,TIMEOUT,yes
-2,1,TIMEOUT,yes
-10,6,TIMEOUT,yes
7153,4,FAILED,yes
589,1,FAILED,yes
7130,4,FAILED,yes
4509,8,COMPLETED,yes
1863,8,COMPLETED,yes
-4,1,TIMEOUT,yes
-4,1,TIMEOUT,yes
-4,1,TIMEOUT,yes
1830,8,COMPLETED,yes
7157,4,FAILED,yes
-28,1,TIMEOUT,yes
-28,1,TIMEOUT,yes
3366,320,FAILED,yes
-28,1,TIMEOUT,yes
7141,4,FAILED,yes
1796,8,COMPLETED,yes
790,20,FAILED,yes
-18,1,TIMEOUT,yes
-18,1,TIMEOUT,yes
-18,1,TIMEOUT,yes
482,1,COMPLETED,yes
1830,8,COMPLETED,yes
7132,4,FAILED,yes
4178,8,COMPLETED,yes
591,1,FAILED,yes
-7,1,TIMEOUT,yes
-7,1,TIMEOUT,yes
-7,1,TIMEOUT,yes
1865,8,COMPLETED,yes
-2,1,TIMEOUT,yes
-27,1,TIMEOUT,yes
-27,1,TIMEOUT,yes
1722,40,FAILED,yes
7152,4,FAILED,yes
-19,1,TIMEOUT,yes
-14,1,TIMEOUT,yes
-14,1,TIMEOUT,yes
591,1,FAILED,yes
7097,4,FAILED,yes
95,4.50K,COMPLETED,yes
-26,1,TIMEOUT,yes
-29,1,TIMEOUT,yes
-29,1,TIMEOUT,yes
7131,4,FAILED,yes
-22,1,TIMEOUT,yes
-22,1,TIMEOUT,yes
-22,1,TIMEOUT,yes
1461,1,CANCELLED by 15604,yes
7156,4,FAILED,yes
-14,1,TIMEOUT,yes
-14,1,TIMEOUT,yes
-14,1,TIMEOUT,yes
-7,1,TIMEOUT,yes
-7,1,TIMEOUT,yes
-7,1,TIMEOUT,yes
540,1,CANCELLED by 17227,yes
7157,4,FAILED,yes
-26,1,TIMEOUT,yes
-26,1,TIMEOUT,yes
-26,1,TIMEOUT,yes
7130,4,FAILED,yes
402,1,CANCELLED by 17227,yes
-21,1,TIMEOUT,yes
-21,1,TIMEOUT,yes
-21,1,TIMEOUT,yes
7119,4,FAILED,yes
-17,1,TIMEOUT,yes
-17,1,TIMEOUT,yes
-17,1,TIMEOUT,yes
-12,1,TIMEOUT,yes
-12,1,TIMEOUT,yes
-12,1,TIMEOUT,yes
7160,4,FAILED,yes
779,1,FAILED,yes
3869,1,FAILED,yes
3877,1,FAILED,yes
3872,1,FAILED,yes
167,1,CANCELLED by 17227,yes
7130,4,FAILED,yes
7116,4,FAILED,yes
2586,8,COMPLETED,yes
2917,320,COMPLETED,yes
845,1000,COMPLETED,yes
7142,4,FAILED,yes
1827,8,COMPLETED,yes
7165,4,FAILED,yes
1407,8,COMPLETED,yes
-20,1,TIMEOUT,yes
-20,1,TIMEOUT,yes
-20,1,TIMEOUT,yes
7151,4,FAILED,yes
7156,4,FAILED,yes
441,1,CANCELLED by 17227,yes
7154,4,FAILED,yes
7151,4,FAILED,yes
569,1,FAILED,yes
7144,4,FAILED,yes
-13,48,TIMEOUT,yes
7164,4,FAILED,yes
910,48,COMPLETED,yes
486,48,COMPLETED,yes
7110,4,FAILED,yes
-16,48,TIMEOUT,yes
-12,48,TIMEOUT,yes
-8,48,TIMEOUT,yes
-30,48,TIMEOUT,yes
2777,320,COMPLETED,yes
7142,4,FAILED,yes
-28,18,TIMEOUT,yes
7181,2,COMPLETED,yes
-5,18,TIMEOUT,yes
1613,1,FAILED,yes
782,2K,COMPLETED,yes
7189,2,FAILED,yes
2055,8,COMPLETED,yes
7159,4,FAILED,yes
966,1,COMPLETED,yes
6557,2,COMPLETED,yes
7156,4,FAILED,yes
595,1,COMPLETED,yes
3524,4,COMPLETED,yes
7158,4,FAILED,yes
7154,4,FAILED,yes
7195,9,FAILED,yes
7157,4,FAILED,yes
7155,4,FAILED,yes
739,1,COMPLETED,yes
7158,4,FAILED,yes
577,20,COMPLETED,yes
7132,4,FAILED,yes
1718,2304,COMPLETED,yes
7154,4,FAILED,yes
7159,4,FAILED,yes
-12,1,TIMEOUT,yes
-12,1,TIMEOUT,yes
-7,1,TIMEOUT,yes
7160,4,FAILED,yes
1700,320,COMPLETED,yes
2840,4,COMPLETED,yes
4704,1,FAILED,yes
4704,1,FAILED,yes
7162,4,FAILED,yes
145,1,FAILED,yes
-18,1,TIMEOUT,yes
-18,1,TIMEOUT,yes
-18,1,TIMEOUT,yes
7184,9,FAILED,yes
7157,4,FAILED,yes
965,20,FAILED,yes
7156,4,FAILED,yes
7184,9,FAILED,yes
-21,230,TIMEOUT,yes
-25,230,TIMEOUT,yes
-13,230,TIMEOUT,yes
-10,230,TIMEOUT,yes
-5,230,TIMEOUT,yes
-28,230,TIMEOUT,yes
-17,230,TIMEOUT,yes
7162,4,FAILED,yes
-8,230,TIMEOUT,yes
-20,230,TIMEOUT,yes
-8,230,TIMEOUT,yes
-9,230,TIMEOUT,yes
-29,230,TIMEOUT,yes
-24,230,TIMEOUT,yes
-4,230,TIMEOUT,yes
-6,230,TIMEOUT,yes
-24,230,TIMEOUT,yes
-25,230,TIMEOUT,yes
-27,230,TIMEOUT,yes
4186,8,COMPLETED,yes
-15,230,TIMEOUT,yes
-12,230,TIMEOUT,yes
7150,4,FAILED,yes
-5,230,TIMEOUT,yes
-2,230,TIMEOUT,yes
-17,230,TIMEOUT,yes
-19,230,TIMEOUT,yes
-29,230,TIMEOUT,yes
-17,230,TIMEOUT,yes
-16,230,TIMEOUT,yes
-9,230,TIMEOUT,yes
-29,230,TIMEOUT,yes
-25,230,TIMEOUT,yes
-20,230,TIMEOUT,yes
-17,230,TIMEOUT,yes
-17,230,TIMEOUT,yes
-9,230,TIMEOUT,yes
867,20,FAILED,yes
-7,230,TIMEOUT,yes
-10,230,TIMEOUT,yes
600,0,CANCELLED by 58324,no
-21,9,TIMEOUT,yes
-19,230,TIMEOUT,yes
-16,230,TIMEOUT,yes
-24,230,TIMEOUT,yes
7159,4,FAILED,yes
900,0,CANCELLED by 58324,no
748,4K,FAILED,yes
3068,1000,COMPLETED,yes
7156,4,FAILED,yes
859,20,FAILED,yes
388,8,COMPLETED,yes
7160,4,FAILED,yes
7126,4,FAILED,yes
7122,4,FAILED,yes
605,4K,COMPLETED,yes
900,0,CANCELLED by 58324,no
7160,4,FAILED,yes
272,1,COMPLETED,yes
7128,4,FAILED,yes
7059,2,FAILED,yes
1417,60,COMPLETED,yes
7127,4,FAILED,yes
554,1,FAILED,yes
7158,4,FAILED,yes
546,1,COMPLETED,yes
-26,1,TIMEOUT,yes
7150,4,FAILED,yes
7161,4,FAILED,yes
7128,2,CANCELLED by 17402,yes
3876,640,NODE_FAIL,yes
7153,4,FAILED,yes
3548,320,FAILED,yes
7157,4,FAILED,yes
1369,60,COMPLETED,yes
7188,2,FAILED,yes
3600,0,CANCELLED by 15344,no
739,2K,COMPLETED,yes
-4,1,TIMEOUT,yes
7158,4,FAILED,yes
1004,4,COMPLETED,yes
5111,2,COMPLETED,yes
7153,4,FAILED,yes
6704,2,FAILED,yes
6402,2,FAILED,yes
6097,2,FAILED,yes
6587,2,FAILED,yes
7070,4,FAILED,yes
4914,2,FAILED,yes
-13,2,TIMEOUT,yes
7173,4,FAILED,yes
543,1,CANCELLED by 16916,yes
7165,4,FAILED,yes
5173,2,COMPLETED,yes
7115,4,FAILED,yes
839,1000,COMPLETED,yes
-22,1,TIMEOUT,yes
-22,1,TIMEOUT,yes
-22,1,TIMEOUT,yes
7144,4,FAILED,yes
360,0,FAILED,no
3828,4,COMPLETED,yes
-18,100,TIMEOUT,yes
481,1,FAILED,yes
519,1,COMPLETED,yes
7164,4,FAILED,yes
4718,1,FAILED,yes
1744,32,COMPLETED,yes
3985,1,COMPLETED,yes
7129,4,FAILED,yes
497,1,CANCELLED by 16916,yes
587,1,FAILED,yes
7156,4,FAILED,yes
1749,32,FAILED,yes
2885,1,COMPLETED,yes
1868,8,COMPLETED,yes
2810,1,COMPLETED,yes
2777,1,COMPLETED,yes
2793,1,COMPLETED,yes
627,6,COMPLETED,yes
1859,8,COMPLETED,yes
1898,8,COMPLETED,yes
3323,2,COMPLETED,yes
1800,8,COMPLETED,yes
6882,1,CANCELLED by 18521,yes
2514,8,COMPLETED,yes
1796,8,COMPLETED,yes
7133,4,FAILED,yes
-12,2,TIMEOUT,yes
7165,4,FAILED,yes
7167,4,FAILED,yes
2982,4,COMPLETED,yes
7166,4,FAILED,yes
74,2,COMPLETED,yes
7155,4,FAILED,yes
1754,32,FAILED,yes
4343,1,FAILED,yes
3532,4,COMPLETED,yes
7155,4,FAILED,yes
7152,4,FAILED,yes
4127,8,COMPLETED,yes
7148,4,FAILED,yes
1351,6,FAILED,yes
1352,7,FAILED,yes
1337,8,FAILED,yes
1220,9,FAILED,yes
1301,12,FAILED,yes
199,14,FAILED,yes
-11,15,TIMEOUT,yes
-26,20,TIMEOUT,yes
-26,30,TIMEOUT,yes
1264,45,COMPLETED,yes
1404,60,COMPLETED,yes
1450,75,COMPLETED,yes
1477,90,COMPLETED,yes
1496,96,COMPLETED,yes
1497,105,COMPLETED,yes
1504,120,COMPLETED,yes
1504,135,COMPLETED,yes
1510,150,COMPLETED,yes
1521,200,COMPLETED,yes
7155,4,FAILED,yes
279,100,FAILED,yes
-23,30,TIMEOUT,yes
7200,0,CANCELLED by 18060,no
1821,8,COMPLETED,yes
1746,32,FAILED,yes
7200,0,CANCELLED by 18060,no
1857,1,FAILED,yes
7200,0,CANCELLED by 18060,no
3600,0,FAILED,no
7095,10,FAILED,yes
7200,0,CANCELLED by 18060,no
80,1,FAILED,yes
3600,0,FAILED,no
284,1,COMPLETED,yes
3596,2,FAILED,yes
7141,4,FAILED,yes
3596,2,COMPLETED,yes
293,2,COMPLETED,yes
7179,1,FAILED,yes
842,20,FAILED,yes
7122,4,FAILED,yes
456,1,COMPLETED,yes
6978,5,FAILED,yes
6956,15,FAILED,yes
6952,30,FAILED,yes
7200,0,CANCELLED by 18060,no
3908,2,COMPLETED,yes
-28,2,TIMEOUT,yes
6552,2,COMPLETED,yes
1332,2,COMPLETED,yes
-28,2,TIMEOUT,yes
-28,2,TIMEOUT,yes
-28,2,TIMEOUT,yes
-28,2,TIMEOUT,yes
1515,8,COMPLETED,yes
3590,91,COMPLETED,yes
7167,4,FAILED,yes
7200,0,CANCELLED by 18529,no
-6,2,TIMEOUT,yes
2682,4,COMPLETED,yes
3591,91,COMPLETED,yes
2050,8,COMPLETED,yes
7153,4,FAILED,yes
1483,91,CANCELLED by 16296,yes
7149,4,FAILED,yes
-22,8,TIMEOUT,yes
-6,1,TIMEOUT,yes
1740,32,FAILED,yes
7118,4,FAILED,yes
7139,4,FAILED,yes
-24,1,TIMEOUT,yes
-19,6,TIMEOUT,yes
1481,1,COMPLETED,yes
36,2,CANCELLED by 15927,yes
7150,4,FAILED,yes
-12,20,TIMEOUT,yes
5308,1,FAILED,yes
1753,32,FAILED,yes
7146,4,FAILED,yes
3051,1000,COMPLETED,yes
7153,4,FAILED,yes
2436,128,COMPLETED,yes
7133,4,FAILED,yes
690,1,COMPLETED,yes
7124,4,FAILED,yes
1610,32,COMPLETED,yes
7142,4,FAILED,yes
-10,320,TIMEOUT,yes
0,2,TIMEOUT,yes
3193,2K,COMPLETED,yes
715,4.50K,COMPLETED,yes
4059,15,FAILED,yes
6899,20,CANCELLED by 0,yes
3507,30,CANCELLED by 14485,yes
7186,4,COMPLETED,yes
5623,8,CANCELLED by 58399,yes
380,4K,COMPLETED,yes
400,20,COMPLETED,yes
839,1000,COMPLETED,yes
1614,32,COMPLETED,yes
6551,4,COMPLETED,yes
6939,32,COMPLETED,yes
6634,56,COMPLETED,yes
6712,56,COMPLETED,yes
6753,56,COMPLETED,yes
6072,56,COMPLETED,yes
6738,56,COMPLETED,yes
6641,56,COMPLETED,yes
6642,56,COMPLETED,yes
6893,56,COMPLETED,yes
6911,56,COMPLETED,yes
6791,56,COMPLETED,yes
6797,56,COMPLETED,yes
6793,56,COMPLETED,yes
6920,56,COMPLETED,yes
6911,56,COMPLETED,yes
6766,56,COMPLETED,yes
6702,56,COMPLETED,yes
6732,56,COMPLETED,yes
6570,56,COMPLETED,yes
6790,56,COMPLETED,yes
6901,56,COMPLETED,yes
6699,56,COMPLETED,yes
6481,56,COMPLETED,yes
6778,56,COMPLETED,yes
6780,56,COMPLETED,yes
6773,56,COMPLETED,yes
7168,4,FAILED,yes
2280,1,FAILED,yes
842,20,FAILED,yes
-11,48,TIMEOUT,yes
910,91,CANCELLED by 16296,yes
-11,48,TIMEOUT,yes
-14,48,TIMEOUT,yes
457,48,COMPLETED,yes
3395,2,COMPLETED,yes
-14,48,TIMEOUT,yes
908,8,CANCELLED by 58399,yes
3592,1,COMPLETED,no
697,40,CANCELLED by 14046,yes
775,20,FAILED,yes
-21,5,TIMEOUT,yes
3590,1,COMPLETED,no
596,6,COMPLETED,yes
-11,15,TIMEOUT,yes
3600,1,COMPLETED,no
-5,30,TIMEOUT,yes
6729,55,FAILED,yes
872,20,FAILED,yes
3363,1,COMPLETED,no
6290,2,COMPLETED,yes
-4,40,TIMEOUT,yes
1033,1,COMPLETED,yes
1307,1,COMPLETED,yes
1325,1,COMPLETED,yes
1299,1,COMPLETED,yes
1287,1,COMPLETED,yes
852,1,COMPLETED,yes
1104,1,COMPLETED,yes
1108,1,COMPLETED,yes
1125,1,COMPLETED,yes
1126,1,COMPLETED,yes
1020,1,COMPLETED,yes
1240,1,COMPLETED,yes
1227,1,COMPLETED,yes
1235,1,COMPLETED,yes
1225,1,COMPLETED,yes
1222,1,COMPLETED,yes
1399,1,COMPLETED,yes
1408,1,COMPLETED,yes
1375,1,COMPLETED,yes
1407,1,COMPLETED,yes
1363,1,COMPLETED,yes
1417,1,COMPLETED,yes
1450,1,COMPLETED,yes
1420,1,COMPLETED,yes
1418,1,COMPLETED,yes
1396,1,COMPLETED,yes
1455,1,COMPLETED,yes
1457,1,COMPLETED,yes
1444,1,COMPLETED,yes
1441,1,COMPLETED,yes
1401,1,COMPLETED,yes
1354,1,COMPLETED,yes
1377,1,COMPLETED,yes
1378,1,COMPLETED,yes
1378,1,COMPLETED,yes
1269,1,COMPLETED,yes
1276,1,COMPLETED,yes
1252,1,COMPLETED,yes
1264,1,COMPLETED,yes
1283,1,COMPLETED,yes
1135,1,COMPLETED,yes
1119,1,COMPLETED,yes
1130,1,COMPLETED,yes
1139,1,COMPLETED,yes
1075,1,COMPLETED,yes
7190,1,COMPLETED,yes
7191,1,COMPLETED,yes
7189,1,COMPLETED,yes
7189,1,COMPLETED,yes
7190,1,COMPLETED,yes
1346,1,COMPLETED,yes
1347,1,COMPLETED,yes
1343,1,COMPLETED,yes
1325,1,COMPLETED,yes
1347,1,COMPLETED,yes
1293,1,COMPLETED,yes
1290,1,COMPLETED,yes
1293,1,COMPLETED,yes
1307,1,COMPLETED,yes
1319,1,COMPLETED,yes
1284,1,COMPLETED,yes
1251,1,COMPLETED,yes
1262,1,COMPLETED,yes
1253,1,COMPLETED,yes
1265,1,COMPLETED,yes
1328,1,COMPLETED,yes
1304,1,COMPLETED,yes
1297,1,COMPLETED,yes
1303,1,COMPLETED,yes
1292,1,COMPLETED,yes
1100,1,COMPLETED,yes
1306,1,COMPLETED,yes
1324,1,COMPLETED,yes
1341,1,COMPLETED,yes
1323,1,COMPLETED,yes
1331,1,COMPLETED,yes
1327,1,COMPLETED,yes
1320,1,COMPLETED,yes
1326,1,COMPLETED,yes
1323,1,COMPLETED,yes
1178,1,COMPLETED,yes
1182,1,COMPLETED,yes
1147,1,COMPLETED,yes
1181,1,COMPLETED,yes
1192,1,COMPLETED,yes
3530,1,FAILED,yes
5193,4,COMPLETED,yes
4119,8,COMPLETED,yes
-10,1,TIMEOUT,no
7100,4,FAILED,yes
4631,4,CANCELLED by 15446,yes
2655,2,COMPLETED,yes
-13,4,TIMEOUT,yes
3591,4,COMPLETED,yes
-13,4,TIMEOUT,yes
-13,2,TIMEOUT,yes
442,8,COMPLETED,yes
1407,1,COMPLETED,yes
1139,4,COMPLETED,yes
3600,0,CANCELLED by 15344,no
7200,0,CANCELLED by 15344,no
1821,8,COMPLETED,yes
1851,8,COMPLETED,yes
2525,8,COMPLETED,yes
1806,8,COMPLETED,yes
837,50,CANCELLED by 7319,yes
555,1,CANCELLED by 15604,yes
2256,1,COMPLETED,yes
7068,2,FAILED,yes
548,1,COMPLETED,yes
814,2K,COMPLETED,yes
6361,32,COMPLETED,yes
7200,0,CANCELLED by 15344,no
-17,16,TIMEOUT,yes
2251,1,COMPLETED,yes
-7,40,TIMEOUT,yes
1800,0,CANCELLED by 58800,no
-1,2,TIMEOUT,yes
-10,2,TIMEOUT,yes
-1,2,TIMEOUT,yes
251,1,CANCELLED by 15604,yes
-16,2,TIMEOUT,yes
1774,32,FAILED,yes
74,1,COMPLETED,yes
2372,1,COMPLETED,yes
3591,91,COMPLETED,yes
2780,1,COMPLETED,yes
1379,32,CANCELLED by 6186,yes
-6,2K,TIMEOUT,no
7181,2,COMPLETED,yes
1497,4K,CANCELLED by 0,yes
1416,1,CANCELLED by 14046,yes
-11,128,TIMEOUT,yes
7147,4,FAILED,yes
894,4,FAILED,yes
1157,4,FAILED,yes
1815,8,COMPLETED,yes
840,1000,COMPLETED,yes
1694,2,COMPLETED,yes
1090,32,COMPLETED,yes
7169,4,COMPLETED,yes
3359,2,FAILED,yes
3359,2,FAILED,yes
43200,0,CANCELLED by 14901,no
7192,1,FAILED,yes
226,1,COMPLETED,yes
72,1,COMPLETED,yes
7194,4,COMPLETED,yes
1676,1000,COMPLETED,yes
4395,1,COMPLETED,yes
2537,4,COMPLETED,yes
4337,1,COMPLETED,yes
4357,1,COMPLETED,yes
7200,0,CANCELLED by 18362,no
5121,4,CANCELLED by 15446,yes
2465,1,COMPLETED,yes
2114,1,COMPLETED,yes
-21,20,TIMEOUT,yes
1819,8,COMPLETED,yes
4378,1,COMPLETED,yes
4436,1,COMPLETED,yes
4318,1,COMPLETED,yes
7200,0,FAILED,no
74,1,COMPLETED,yes
1118,8,FAILED,yes
-14,20,TIMEOUT,yes
6298,257,CANCELLED by 0,yes
7200,0,CANCELLED by 17144,no
858,6,COMPLETED,yes
7192,4,FAILED,yes
7200,0,FAILED,no
-10,2,TIMEOUT,yes
-8,128,TIMEOUT,yes
838,20,FAILED,yes
2390,1,COMPLETED,yes
4373,1,COMPLETED,yes
4531,1,COMPLETED,yes
4485,1,COMPLETED,yes
7200,0,FAILED,no
7200,0,CANCELLED by 16916,no
2385,1,COMPLETED,yes
4355,1,COMPLETED,yes
424,7,COMPLETED,yes
361,1,COMPLETED,yes
4379,1,COMPLETED,yes
537,1,CANCELLED by 14046,yes
-29,1,TIMEOUT,no
728,4,CANCELLED by 17144,yes
19690,96,COMPLETED,yes
15646,96,COMPLETED,yes
16679,96,COMPLETED,yes
5715,1,FAILED,yes
1614,32,COMPLETED,yes
-17,4,TIMEOUT,yes
4482,1,COMPLETED,yes
4549,1,COMPLETED,yes
4444,1,COMPLETED,yes
493,1,COMPLETED,yes
-16,1,TIMEOUT,yes
591,1,COMPLETED,yes
2888,1,COMPLETED,yes
434,1,CANCELLED by 14046,yes
591,1,COMPLETED,yes
4378,16,COMPLETED,yes
1898,1,FAILED,yes
72,1,COMPLETED,yes
557,1,CANCELLED by 14046,yes
699,4,COMPLETED,yes
1161,4,FAILED,yes
877,4,FAILED,yes
7130,16,FAILED,yes
996,8,COMPLETED,yes
3600,0,CANCELLED by 18551,no
2865,1,COMPLETED,yes
513,1,CANCELLED by 14046,yes
1647,1,COMPLETED,yes
504,1,CANCELLED by 14046,yes
252,1,FAILED,yes
4419,1,COMPLETED,yes
466,2,COMPLETED,yes
-14,160,TIMEOUT,yes
1800,0,CANCELLED by 16916,no
7200,0,FAILED,no
557,1,CANCELLED by 14046,yes
7200,0,FAILED,no
7170,1,FAILED,yes
354,2,FAILED,yes
1793,8,COMPLETED,yes
515,2,CANCELLED by 15927,yes
-23,2,TIMEOUT,yes
539,1,CANCELLED by 14046,yes
1991,8,COMPLETED,yes
-18,2,TIMEOUT,yes
574,1,COMPLETED,yes
5619,4,COMPLETED,yes
74,1,COMPLETED,yes
1800,0,CANCELLED by 16916,no
1200,0,CANCELLED by 15211,no
1671,4,FAILED,yes
574,1,COMPLETED,yes
281,4,FAILED,yes
7141,4,COMPLETED,yes
1029,4,FAILED,yes
1881,17,COMPLETED,yes
573,1,COMPLETED,yes
268,2,COMPLETED,yes
-22,32,TIMEOUT,yes
6918,1,FAILED,yes
6703,1,FAILED,yes
6881,1,FAILED,yes
5947,1,FAILED,yes
7168,1,FAILED,yes
7099,1,FAILED,yes
7127,1,FAILED,yes
6122,1,FAILED,yes
6899,1,FAILED,yes
7155,1,FAILED,yes
7157,1,FAILED,yes
7157,1,FAILED,yes
7164,1,FAILED,yes
7169,4,COMPLETED,yes
695,6,COMPLETED,yes
-20,6,TIMEOUT,yes
1416,4,FAILED,yes
98,2,COMPLETED,yes
7189,4,FAILED,yes
72,1,COMPLETED,yes
1124,8,FAILED,yes
7200,0,CANCELLED by 18596,no
2491,18,COMPLETED,yes
1976,91,CANCELLED by 16296,yes
7140,0,CANCELLED by 16145,no
3568,10,FAILED,yes
-1,2,TIMEOUT,yes
1125,8,FAILED,yes
3931,1,FAILED,yes
7166,4,COMPLETED,yes
1127,1,COMPLETED,yes
295,4,FAILED,yes
1028,4,FAILED,yes
375,2,FAILED,yes
6523,8,FAILED,yes
6532,8,FAILED,yes
-14,1,TIMEOUT,yes
490,1,COMPLETED,yes
263,2,COMPLETED,yes
2708,4,COMPLETED,yes
-18,1,TIMEOUT,no
1741,1,COMPLETED,yes
71,1,COMPLETED,yes
4400,4,COMPLETED,yes
304,2,FAILED,yes
993,8,COMPLETED,yes
3356,4,COMPLETED,yes
484,8,COMPLETED,yes
-13,2,TIMEOUT,yes
465,512,COMPLETED,yes
481,64,COMPLETED,yes
6104,4,CANCELLED by 15446,yes
536,4K,COMPLETED,yes
384,9261,COMPLETED,no
289,1,COMPLETED,yes
4507,1,COMPLETED,yes
4562,1,COMPLETED,yes
261,2,COMPLETED,yes
1075,1,COMPLETED,yes
1074,1,COMPLETED,yes
4700,1,COMPLETED,yes
1004,8,COMPLETED,yes
1504,8,COMPLETED,yes
-6,1,TIMEOUT,yes
-9,2,TIMEOUT,yes
496,4,FAILED,yes
749,4K,FAILED,yes
717,4,FAILED,yes
1469,1,COMPLETED,yes
2178,8,COMPLETED,yes
3600,0,CANCELLED by 16916,no
2400,0,CANCELLED by 16916,no
1800,0,CANCELLED by 16916,no
1741,1,COMPLETED,yes
1091,1,COMPLETED,yes
4702,1,COMPLETED,yes
900,0,CANCELLED by 17801,no
4150,8,COMPLETED,yes
599,2,CANCELLED by 0,yes
8,2,COMPLETED,yes
343,1,COMPLETED,yes
1849,8,COMPLETED,yes
-3,4,TIMEOUT,yes
142,2,CANCELLED by 15927,yes
3474,1,COMPLETED,yes
477,1,CANCELLED by 14046,yes
442,8,COMPLETED,yes
321,1,COMPLETED,yes
-19,60,TIMEOUT,yes
-27,1,TIMEOUT,yes
309,8,COMPLETED,yes
1571,1,COMPLETED,yes
7200,0,CANCELLED by 15344,no
1005,4,COMPLETED,yes
955,91,CANCELLED by 16296,yes
7144,8,FAILED,yes
7200,0,CANCELLED by 15344,no
1718,8,COMPLETED,yes
1002,1,COMPLETED,yes
2587,8,COMPLETED,yes
-21,2000,TIMEOUT,yes
-21,2000,TIMEOUT,yes
298,8,COMPLETED,yes
839,64,COMPLETED,yes
1673,512,COMPLETED,yes
-27,2000,TIMEOUT,yes
-29,2000,TIMEOUT,yes
22,2000,COMPLETED,yes
600,0,CANCELLED by 17651,no
30,2000,COMPLETED,yes
55,2000,COMPLETED,yes
236,2,CANCELLED by 15927,yes
15,2000,COMPLETED,yes
1720,8,COMPLETED,yes
799,6,COMPLETED,yes
1748,1,COMPLETED,yes
7089,4,CANCELLED by 17144,yes
1706,8,COMPLETED,yes
2471,4,COMPLETED,yes
297,1,CANCELLED by 14046,yes
1128,4K,COMPLETED,yes
1607,8,COMPLETED,yes
2150,9261,NODE_FAIL,no
4355,4,COMPLETED,yes
336,1641,COMPLETED,yes
7200,0,CANCELLED by 17144,no
7200,0,CANCELLED by 15344,no
5531,3,COMPLETED,yes
303,2K,CANCELLED by 58903,yes
3600,0,CANCELLED by 15344,no
271,4,COMPLETED,yes
1817,8,COMPLETED,yes
1761,8,COMPLETED,yes
1344,4,CANCELLED by 17144,yes
458,1,CANCELLED by 14046,yes
217,1,COMPLETED,yes
274,4,COMPLETED,yes
558,2,CANCELLED by 15927,yes
-8,1,CANCELLED by 14046,yes
7078,12,COMPLETED,yes
3600,0,CANCELLED by 15344,no
3592,1,FAILED,yes
7187,20,FAILED,yes
3600,0,CANCELLED by 15344,no
11867,256,COMPLETED,yes
-29,60,TIMEOUT,yes
-28,60,TIMEOUT,yes
-5,60,TIMEOUT,yes
-23,60,TIMEOUT,yes
-11,60,TIMEOUT,yes
-2,60,TIMEOUT,yes
-1,60,TIMEOUT,yes
-24,60,TIMEOUT,yes
3182,1,FAILED,yes
-15,1,TIMEOUT,yes
-26,2,TIMEOUT,yes
7200,0,CANCELLED by 16491,no
-20,1,TIMEOUT,yes
3937,40,NODE_FAIL,yes
-13,2,TIMEOUT,yes
7200,0,CANCELLED by 15010,no
2154,12,FAILED,yes
2389,257,COMPLETED,yes
-10,2,TIMEOUT,yes
7200,0,CANCELLED by 16491,no
3581,4,FAILED,yes
72,1,COMPLETED,yes
3600,0,CANCELLED by 15344,no
3394,4,COMPLETED,yes
900,0,CANCELLED by 17801,no
0,1,TIMEOUT,yes
-29,1,TIMEOUT,yes
-29,1,TIMEOUT,yes
47,1,CANCELLED by 14901,yes
113,2000,COMPLETED,yes
3600,0,CANCELLED by 15344,no
527,1,FAILED,yes
48,2000,COMPLETED,yes
3573,4,FAILED,yes
46,2000,COMPLETED,yes
600,0,CANCELLED by 17651,no
600,0,CANCELLED by 17651,no
3937,40,NODE_FAIL,yes
19,2000,COMPLETED,yes
-6,1,TIMEOUT,yes
7200,0,CANCELLED by 15344,no
4981,2,CANCELLED by 2500100,yes
541,92,FAILED,yes
929,91,CANCELLED by 16296,yes
461,32,CANCELLED by 58756,yes
465,16,CANCELLED by 58756,yes
473,8,CANCELLED by 58756,yes
-4,4,TIMEOUT,yes
397,1,CANCELLED by 14046,yes
7156,1,COMPLETED,yes
552,92,FAILED,yes
