Time Difference (s),Nodes,State,Backfilled
15290,150,COMPLETED,yes
19985,150,COMPLETED,yes
21418,150,COMPLETED,yes
19245,800,NODE_FAIL,yes
-3,800,TIMEOUT,yes
-17,256,TIMEOUT,yes
-14,256,TIMEOUT,yes
8174,256,NODE_FAIL,yes
28775,256,FAILED,yes
-19,256,TIMEOUT,yes
8454,2304,COMPLETED,yes
-27,350,TIMEOUT,yes
-4,347,TIMEOUT,yes
5095,2880,NODE_FAIL,yes
-1,256,TIMEOUT,yes
12386,768,COMPLETED,yes
5678,256,COMPLETED,yes
-21,128,TIMEOUT,yes
958,128,COMPLETED,yes
-21,800,TIMEOUT,yes
22276,800,FAILED,yes
5671,800,FAILED,yes
-19,800,TIMEOUT,yes
8606,2304,COMPLETED,yes
9000,0,CANCELLED by 14891,no
475,200,COMPLETED,yes
8784,200,FAILED,yes
392,200,COMPLETED,yes
-3,256,TIMEOUT,yes
174,160,COMPLETED,yes
254,160,COMPLETED,yes
193,160,COMPLETED,yes
238,160,COMPLETED,yes
230,160,COMPLETED,yes
-27,160,TIMEOUT,yes
198,160,COMPLETED,yes
234,160,COMPLETED,yes
208,160,COMPLETED,yes
169,160,COMPLETED,yes
21600,0,CANCELLED by 17564,no
-12,120,TIMEOUT,yes
-24,120,TIMEOUT,yes
-14,120,TIMEOUT,yes
-8,120,TIMEOUT,yes
15581,120,CANCELLED by 11010,yes
3607,200,FAILED,yes
13259,200,FAILED,yes
3243,200,FAILED,yes
345,200,COMPLETED,yes
551,200,COMPLETED,yes
520,200,COMPLETED,yes
0,1.50K,TIMEOUT,yes
8527,2304,COMPLETED,yes
43123,320,COMPLETED,yes
1108,184,COMPLETED,yes
14387,300,FAILED,yes
12218,300,NODE_FAIL,yes
10920,300,FAILED,yes
1278,300,COMPLETED,yes
8558,2304,COMPLETED,yes
21421,92,NODE_FAIL,yes
5650,128,NODE_FAIL,yes
9000,0,CANCELLED by 58260,no
40565,256,COMPLETED,yes
2432,92,COMPLETED,yes
10002,128,COMPLETED,yes
4637,100,NODE_FAIL,yes
5938,100,COMPLETED,yes
-24,100,TIMEOUT,yes
411,100,COMPLETED,yes
-23,18,TIMEOUT,yes
-10,18,TIMEOUT,yes
-6,18,TIMEOUT,yes
-6,18,TIMEOUT,yes
-15,18,TIMEOUT,yes
6218,18,NODE_FAIL,yes
-4,18,TIMEOUT,yes
-1,18,TIMEOUT,yes
-23,18,TIMEOUT,yes
9000,0,CANCELLED by 58260,no
323,2K,COMPLETED,yes
1704,32,COMPLETED,yes
1745,32,COMPLETED,yes
1839,32,COMPLETED,yes
1770,32,COMPLETED,yes
2533,32,COMPLETED,yes
2069,32,COMPLETED,yes
1643,32,COMPLETED,yes
1709,32,COMPLETED,yes
1797,32,COMPLETED,yes
2326,32,COMPLETED,yes
2531,32,COMPLETED,yes
2047,32,COMPLETED,yes
2109,32,COMPLETED,yes
1670,32,COMPLETED,yes
1748,32,COMPLETED,yes
1805,32,COMPLETED,yes
2411,32,COMPLETED,yes
2524,32,COMPLETED,yes
354,32,COMPLETED,yes
1716,32,COMPLETED,yes
1806,32,COMPLETED,yes
1781,32,COMPLETED,yes
7191,32,FAILED,yes
1568,32,COMPLETED,yes
2388,32,COMPLETED,yes
2260,32,COMPLETED,yes
1922,32,COMPLETED,yes
1907,32,COMPLETED,yes
1176,32,COMPLETED,yes
1806,32,COMPLETED,yes
2456,32,COMPLETED,yes
2545,32,COMPLETED,yes
2404,32,COMPLETED,yes
2063,32,COMPLETED,yes
-19,1920,TIMEOUT,yes
-24,2K,TIMEOUT,yes
7200,0,CANCELLED by 58903,no
7200,0,CANCELLED by 58903,no
8505,2304,COMPLETED,yes
-6,7500,TIMEOUT,yes
8049,120,COMPLETED,yes
15141,240,COMPLETED,yes
-10,18,TIMEOUT,yes
-23,18,TIMEOUT,yes
-29,18,TIMEOUT,yes
-15,18,TIMEOUT,yes
-1,18,TIMEOUT,yes
-17,18,TIMEOUT,yes
-17,18,TIMEOUT,yes
820,150,COMPLETED,yes
-16,198,TIMEOUT,yes
-12,395,TIMEOUT,yes
-4,580,TIMEOUT,yes
-3,780,TIMEOUT,yes
-22,481,TIMEOUT,yes
-3,1250,TIMEOUT,yes
-18,1241,TIMEOUT,no
-15,2745,TIMEOUT,no
-8,515,TIMEOUT,yes
-20,525,TIMEOUT,yes
6906,552,FAILED,yes
1662,4K,FAILED,yes
-18,105,TIMEOUT,yes
-10,128,TIMEOUT,yes
-7,100,TIMEOUT,yes
21587,192,FAILED,yes
4149,256,COMPLETED,yes
6251,256,COMPLETED,yes
6381,256,COMPLETED,yes
6292,256,COMPLETED,yes
6412,256,COMPLETED,yes
6387,256,COMPLETED,yes
6495,256,COMPLETED,yes
6628,256,COMPLETED,yes
-2,2K,TIMEOUT,yes
-23,8,TIMEOUT,yes
-28,8,TIMEOUT,yes
-31,8,TIMEOUT,yes
43200,0,CANCELLED by 16570,no
657,30,FAILED,yes
43200,0,CANCELLED by 16570,no
43200,0,CANCELLED by 16570,no
39799,335,FAILED,yes
291,1,COMPLETED,yes
-22,12,TIMEOUT,yes
15,1,COMPLETED,yes
1582,3528,FAILED,yes
-4,1,TIMEOUT,yes
1444,10,COMPLETED,yes
7200,0,CANCELLED by 16819,no
7200,0,CANCELLED by 16819,no
7200,0,CANCELLED by 16819,no
7200,0,CANCELLED by 16819,no
7200,0,CANCELLED by 16819,no
7200,0,CANCELLED by 16819,no
326,1,COMPLETED,yes
739,1,COMPLETED,yes
839,1,COMPLETED,yes
764,16,COMPLETED,yes
2593,1,COMPLETED,yes
2586,4,COMPLETED,yes
2539,16,COMPLETED,yes
2584,1,COMPLETED,yes
2580,4,COMPLETED,yes
2543,16,COMPLETED,yes
844,1,COMPLETED,yes
693,1,COMPLETED,yes
727,1,COMPLETED,yes
629,1,COMPLETED,yes
-24,1,TIMEOUT,yes
613,1,COMPLETED,yes
593,1,COMPLETED,yes
822,30,FAILED,yes
1366,1,COMPLETED,yes
293,1,COMPLETED,yes
-26,1,TIMEOUT,yes
7200,0,CANCELLED by 17205,no
3161,1,FAILED,yes
3360,1,FAILED,yes
3595,1,FAILED,yes
3598,1,FAILED,yes
3594,1,FAILED,yes
3598,1,FAILED,yes
3600,0,CANCELLED by 11729,no
3593,1,FAILED,yes
7138,1,FAILED,yes
